Validation results on test dataset:
R2 of lnk within 500-2000K is 0.8708
Average RMSE of lnk within 500-2000K is 4.4341
Average NRMSE of lnk within 500-2000K is 23.27%

	R2 score	RMSE	MPE	NRMSE
lnA:	0.7928	7.3807	72.15%	31.65%
n:	0.7461	0.9898	101.98%	57.53%
E:	0.9614	4103.3518	133.54%	21.60%
lnk(500K):	0.9184	5.0726	76.62%	30.39%
lnk(1000K):	0.7325	4.1852	28.81%	20.92%
lnk(2000K):	-0.0129	4.1657	13.57%	16.64%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	4.1657	4.1320	4.1205	4.1272	4.1494	4.1852	4.2333	4.2926	4.3620	4.4408	4.5282	4.6236	4.7262	4.8356	4.9512	5.0726
NRMSE:	16.64%	17.27%	18.05%	18.97%	20.03%	20.92%	21.77%	22.72%	23.63%	24.55%	25.50%	26.49%	27.50%	28.49%	29.44%	30.39%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
CH3OCH3+CH3=CH3OCH2+CH4	1.9488	3.7800	9687.1006	15.6905	23.1853	28.2428	12.0363	2.0317	7184.4121	17.4319	22.4555	25.6715
CH3OCH2O2=CH2OCH2O2H	33.5445	-1.1300	20034.0000	6.3590	15.6573	19.9148	18.5906	0.5216	19488.9590	2.2175	12.3863	17.6514
PODE2+CH3O=PODE2A+CH3OH	1.2060	3.6200	1386.2300	22.3077	25.5145	28.3724	-3.4529	3.7660	6330.0918	13.5805	19.3763	23.5794
PODE2BO2=PODE2_OOH3_5	19.1908	0.9900	18451.2402	6.7732	16.7444	22.0732	23.5569	-0.0060	18960.4883	4.4373	13.9744	18.7409
PODE2_OOH3_1=COCOC*O+CH2O+OH	23.3765	1.2400	21319.3105	9.6260	21.2138	27.4375	25.0273	0.2741	18806.1406	7.8032	17.4568	22.3786
PODE2_OOH3_1=C4H8O4_13+OH	31.2971	-0.2000	20411.0898	9.5117	19.6443	24.6413	45.5102	-1.7431	18286.4277	16.2731	24.2670	27.6598
PODE2_OOH3_5=COCO2HOC*O+CH3	24.7486	0.6300	16443.5898	12.1144	20.8258	25.3998	23.4509	0.5209	16321.2812	10.2615	18.8357	23.3033
PODE2_OOH3_5=CH3OCHO+CH3OCHO+OH	40.5126	-0.8000	15272.4688	20.1701	27.3010	30.5892	22.2396	0.6907	18639.7520	7.7726	17.6312	22.8000
C2H5OC2H5+H=C2H5OCH2CH2+H2	19.2751	1.9300	10743.0010	20.4571	27.2010	31.2418	12.8991	2.0147	7386.5732	17.9854	23.0990	26.3540
C2H5OC2H5+OH=C2H5OCH2CH2+H2O	21.7349	1.3000	4138.0000	25.6492	28.6326	30.5749	13.5222	1.9076	4283.6221	21.0662	24.5440	26.9441
C2H5OCH2CH2=C2H5O+C2H4	45.3281	-2.0200	25971.0000	6.6364	18.3053	23.4397	25.1339	0.6662	25524.7324	3.5848	16.8911	23.7751
C2H5OCH2CH2+O2=C4H9OaOO	35.1092	-0.9752	-351.5898	29.4026	28.5497	27.7853	29.8334	-1.0284	-230.7661	23.6744	22.8454	22.0745
C4H9OaOO=C4H8OaOOHc	14.0306	1.2800	14623.7988	7.2674	15.5136	20.0803	15.0783	1.0265	18178.5410	3.1621	13.0215	18.3069
C4H9OaOO=C4H8OaOOHd	12.2453	1.4200	20871.5996	0.0640	11.5513	17.7871	14.5395	1.0408	16959.2168	3.9395	13.1951	18.1837
C4H8ObOOHa=C4H8OcyOab+OH	24.8292	0.6300	12036.5000	16.6304	23.1241	26.5893	24.4147	0.1802	15185.0781	10.2515	18.0179	21.9634
C4H8ObOOHd=C4H8OcyOac+OH	24.3288	0.2700	14927.9004	10.9827	18.6819	22.6250	21.9412	0.5382	15297.0664	9.8903	17.9612	22.1831
C2H5OCH2OC2H5+H=C2H5OCHOC2H5+H2	15.6205	2.0900	5009.2002	23.5676	27.5370	30.2460	12.6425	1.9802	6436.2246	18.4708	23.0822	26.0741
C2H5OCH2OC2H4s=C2H5OCH2+CH3CHO	27.1956	0.5770	22818.4004	7.8161	19.6987	25.8400	25.8458	0.3395	18525.3867	9.3111	18.8688	23.7653
C3H8+OH=IC3H7+H2O	12.8316	2.3051	-561.3223	27.7221	29.0374	30.4940	14.4316	1.5838	6056.8350	18.1785	22.3243	24.9460
C3H8+CH3O=NC3H7+CH3OH	26.4270	0.0000	7000.0000	19.3820	22.9045	24.6658	19.6687	0.4206	9429.7871	12.7921	17.8289	20.4931
IC3H7O2=C3H6OOH2-1	20.0020	1.1000	33500.0000	-6.8776	10.7427	19.9341	22.8080	0.6276	31197.8047	-4.6905	11.4439	19.7286
O2+C3H6OOH1-3=C3H6OOH1-3O2	41.8250	-1.8500	1005.8398	29.3156	28.5395	27.5102	30.8839	-1.1083	284.5796	23.7098	23.0848	22.3882
C3H6OOH1-2O2=OH+C3KET12	23.6937	0.1540	25611.9980	-1.1262	11.8690	18.4200	14.2420	0.7636	18544.2969	0.3237	10.1849	15.3801
C4H10=C2H5+C2H5	66.1072	-2.8700	96053.3984	-48.4006	-2.0540	20.1247	69.6376	-4.4572	91598.4453	-50.2504	-7.2458	12.7117
C4H10+OH=SC4H9+H2O	18.3524	1.6100	-35.0000	28.3931	29.4915	30.5987	16.3909	1.2135	5778.7168	18.1163	21.8654	24.1605
C4H10+CH3O=SC4H9+CH3OH	27.1202	0.0000	7000.0000	20.0751	23.5977	25.3589	23.4494	0.0240	7921.3867	15.6260	19.6288	21.6385
SC4H9+O2=SC4H9O2	33.4852	-0.8160	-536.5000	28.9541	28.1185	27.4179	34.2453	-1.3310	-42.8740	26.0167	25.0726	24.1392
SC4H9O2=C4H8OOH2-4	16.4820	1.4000	20800.0000	4.2486	15.6859	21.8898	16.8212	0.8314	19851.5293	2.0085	12.5744	18.1455
C4H8OOH2-4=OH+CH3CHO+C2H4	19.5456	1.5000	23500.0000	5.2162	18.0816	25.0341	26.7456	-0.0541	25252.3223	0.9942	13.6641	19.9803
NC5H12=NC3H7+C2H5	67.4657	-2.8700	95800.6016	-46.7876	-0.5682	21.5468	67.1521	-4.4223	90044.8125	-50.9554	-8.7084	10.8824
NC5H12+O2=C5H11-1+HO2	31.3687	0.0000	52799.9961	-21.7713	4.7987	18.0837	29.8562	0.2427	49313.1055	-18.2665	6.7170	19.2929
NC5H12+O=C5H11-1+OH	32.3584	0.0000	7850.0000	24.4579	28.4081	30.3833	21.5483	0.7178	5678.5254	20.2938	23.6489	25.5752
NC5H12+HO2=C5H11-1+H2O2	3.0350	3.5900	15600.0000	9.6449	19.9836	26.3971	4.0862	3.1417	15386.0410	8.1254	18.0456	24.0945
NC5H12+CH3=C5H11-1+CH4	-0.1009	3.6500	7154.0000	15.3823	21.5123	25.8423	7.9593	2.6782	9564.2969	14.9775	21.6468	25.9097
NC5H12+O2=C5H11-2+HO2	30.9632	0.0000	50160.0000	-19.5198	5.7217	18.3425	29.3983	0.2670	48479.1523	-17.7335	6.8472	19.2301
NC5H12+CH3=C5H11-2+CH4	12.0317	2.1330	7574.0000	17.6647	22.9546	26.3388	10.5543	2.2866	6044.4004	18.6814	23.3080	26.4138
NC5H12+CH3O=C5H11-2+CH3OH	26.1169	0.0000	5000.0000	21.0847	23.6008	24.8588	21.7368	0.3213	5964.8135	17.7305	20.9549	22.6784
NC5H12+OH=C5H11-3+H2O	15.5597	1.8110	-1015.5002	27.8363	28.5806	29.5804	17.7087	1.1582	5128.5039	19.7450	23.1286	25.2218
C5H11-1=C2H4+NC3H7	27.5606	0.6300	29397.7070	1.8888	17.1190	24.9524	25.7764	0.5928	27124.3164	2.1615	16.2219	23.4575
C5H11O2-1=C5H10OOH1-4	15.1287	1.2000	16600.0000	5.8793	15.0646	20.0731	15.9603	0.9373	19344.6367	2.3163	12.7006	18.2176
C5H10OOH2-4+O2=C5H10OOH2-4O2	32.6866	-0.8160	-536.5000	28.1555	27.3199	26.6193	33.2082	-1.7270	1511.2505	20.9544	20.5178	19.7010
CH3OCH2OCH3=CH3+CH3OCH2O	40.6164	0.0000	81656.0234	-41.5654	-0.4745	20.0710	55.2715	-2.3874	83664.4219	-43.7682	-3.3214	16.0746
CH3OCH2OCH3+O2=CH3OCH2OCH2+HO2	9.8416	2.8220	42590.8203	-15.4858	7.9028	20.5751	13.0554	2.8648	37610.9961	-6.9939	13.9184	25.3674
CH3OCH2OCH3+CH3O=CH3OCH2OCH2+CH3OH	6.8876	2.9310	3441.0000	21.6394	25.4026	28.3000	6.0369	2.2724	5118.5342	15.0074	19.1583	22.0213
COCJOCO2H=CH3OCHO+CH2O+OH	28.5632	0.3700	18486.1016	12.2575	21.8165	26.7242	28.2594	-0.2187	14440.9219	12.3666	19.4820	22.9639
PODE2+CH3O=PODE2B+CH3OH	6.8287	2.8800	1553.5400	23.1632	25.9413	28.3284	5.1942	2.4701	4098.7910	16.4198	20.1945	22.9379
PODE2+HO2=PODE2A+H2O2	-6.9559	4.7800	10420.6494	12.2622	20.8193	26.7545	-1.6419	3.5322	6870.6006	13.3948	19.3006	23.4777
PODE2AO2=PODE2_OOH1_5	15.7685	1.0200	11759.0801	10.2726	16.8971	20.5628	16.1355	0.6407	12336.3750	7.7012	14.3532	17.9012
PODE2BO2=PODE2_OOH3_7	22.2251	0.2800	16587.0000	7.2714	15.8124	20.1799	15.8163	0.6242	15058.4160	4.5399	12.5502	16.7717
PODE2_OOH3_7=CH2O+COCO2HOCJ	42.8551	-1.8300	24976.0996	6.3454	17.6454	22.6612	18.1370	1.5141	19935.0508	7.4833	18.5645	24.6299
PODE2_OOH3_7=C4H8O4_15+OH	48.1097	-2.3700	21247.6094	11.9966	21.0461	24.7494	28.9207	-0.2066	15484.8730	12.0522	19.7013	23.4543
C2H5OC2H5+CH3=C2H5OCH2CH2+CH4	10.0774	2.8800	15042.0000	12.8367	22.4023	28.1833	8.1343	3.1714	10006.7881	17.7723	25.0061	29.7222
C2H5OC2H5+HO2=C2H5OCH2CH2+H2O2	-7.2211	4.7000	13032.0000	8.8716	18.6874	25.2242	0.4525	3.5698	11756.7539	10.8048	19.1954	24.6279
C2H5OC2H5+O=C2H5OCH2CH2+OH	17.8045	2.3000	7107.0000	24.9453	30.1160	33.4984	23.0967	0.4514	5643.5059	20.2219	23.3747	25.1075
C2H5OC2H5+O=C2H5OCHCH3+OH	17.3360	2.0000	403.0000	29.3596	30.9487	32.4364	23.0271	0.4951	6338.3652	19.7246	23.2574	25.1953
C2H5OCHCH3+O2=C4H9ObOO	15.7675	1.6359	-842.2598	26.7817	27.4917	28.4137	28.6072	-0.5641	8689.5576	16.3558	20.3375	22.1328
C4H9ObOO=C4H8ObOOHc	15.3904	1.3800	13882.6016	9.9945	17.9371	22.3866	16.1019	0.4471	19673.1191	-0.9194	9.2904	14.5503
C4H8ObOOHc=C4H8OcyObc+OH	27.1433	0.2000	19927.7012	8.3302	18.4968	23.6494	28.7252	-0.3875	13798.1738	12.4303	19.1052	22.3084
C4H8ObOOHdOO=bCOC3H7OdOOH+OH	14.0306	1.2800	14623.7988	7.2674	15.5136	20.0803	13.9318	1.4601	13207.4922	9.7133	17.3717	21.7069
C2H5OCH2OC2H5=CH3+C2H5OCH2OCH2	53.9674	-1.7620	90856.2031	-48.4240	-3.9247	17.7143	56.3121	-2.9166	79766.3281	-42.0935	-3.9752	14.0731
C2H5OCH2OC2H5=C2H5O+C2H5OCH2	60.7592	-2.9810	89993.8984	-48.3399	-5.1195	15.4576	52.8704	-1.3534	85781.3047	-41.8740	0.3547	21.0000
C2H5OCH2OC2H5+H=C2H5OCH2OC2H4s+H2	13.4386	2.3200	3810.7998	24.0212	27.5470	30.1139	12.6352	2.7910	6147.3477	23.7935	28.8215	32.3029
C2H5OCH2OC2H5+CH3=C2H5OCH2OC2H4s+CH4	5.2470	2.7700	7175.5996	15.2397	20.7706	24.4961	5.7975	2.6232	7820.2275	14.2289	19.9824	23.7683
C2H5OCH2OC2H5+C2H5=C2H5OCH2OC2H4p+C2H6	-2.3310	3.6400	11096.2998	9.1224	17.2294	22.5444	10.8795	1.9096	12007.6426	10.6621	18.0283	22.3731
C2H5OCH2OC2H4p=C2H5OCH2O+C2H4	22.9403	0.9890	23036.2988	5.9019	18.1797	24.6614	27.7240	0.5473	28172.7773	2.7713	17.3278	24.7957
C3H8+OH=NC3H7+H2O	15.7420	2.0000	677.3086	27.4895	29.2166	30.7733	13.4838	1.4229	4403.8613	17.8945	21.0969	23.1912
C3H8+O2=NC3H7+HO2	31.3124	0.0000	50900.0000	-19.9154	5.6985	18.5054	29.2840	0.1912	50298.4258	-20.1500	5.2937	18.0818
NC3H7=C2H4+CH3	25.8109	0.7900	30831.7383	-0.3099	15.7529	24.0580	27.6443	0.6273	29621.7266	1.7299	17.0709	24.9588
NC3H7O2=C3H6OOH1-3	13.9883	1.6000	21000.0000	2.7965	14.4731	20.8660	18.5791	0.4877	27509.1543	-6.0765	8.1047	15.3643
C3H6OOH1-2=OH+C3H6O1-2	33.4422	-0.7460	13073.7988	15.6481	21.7100	24.4824	52.2284	-4.1189	21922.1191	4.5680	12.7446	15.4054
C4H10+O=PC4H9+OH	32.3584	0.0000	7850.0000	24.4579	28.4081	30.3833	21.3814	0.6552	6382.6113	19.0296	22.6956	24.7557
C4H10+CH3O=PC4H9+CH3OH	26.4270	0.0000	7000.0000	19.3820	22.9045	24.6658	24.4323	-0.0148	8064.4229	16.2239	20.2718	22.2906
C4H10+H=SC4H9+H2	14.7710	2.4000	4471.0000	25.1863	29.0997	31.8882	11.0336	2.0494	4995.9951	18.7415	22.6761	25.3536
C4H10+CH3=SC4H9+CH4	1.1053	3.4600	5481.0000	17.0915	22.2479	26.0253	7.3777	2.4496	7419.3301	15.1336	20.5650	24.1297
SC4H9=C3H6+CH3	26.0892	0.8400	31309.7500	-0.2018	16.1361	24.5962	27.4691	0.7967	30049.6055	2.1769	17.8507	25.9637
SC4H9O2=C4H8OOH2-1	21.1003	1.1000	33500.0000	-5.7793	11.8410	21.0324	17.8074	0.3136	25403.7109	-5.8111	7.1898	13.7990
C4H8OOH1-3+O2=C4H8OOH1-3O2	32.7924	-0.8160	-536.5000	28.2612	27.4256	26.7250	38.0862	-1.5624	232.7192	28.1424	27.1765	26.1521
C4H8OOH1-3=OH+CH2O+C3H6	20.9303	1.3000	24900.0020	3.9489	17.3802	24.5464	25.3639	0.9604	23523.2910	7.6577	20.1608	26.7452
C4H8OOH1-3=C4H8O1-3+OH	21.6749	0.6900	16000.0000	9.8600	18.3898	22.8938	27.2488	-0.1725	13802.8418	12.2848	19.1111	22.4644
C4H8OOH1-3O2=NC4KET13+OH	9.2965	2.4000	19900.0000	4.1834	15.8611	22.5316	13.4699	1.5114	24186.9082	-1.4802	11.7388	18.8720
C4H8OOH2-4O2=NC4KET24+OH	4.0587	2.9000	17000.0000	4.9716	15.5365	21.8240	9.4515	2.5900	20009.1582	5.4093	17.2735	24.1032
NC5H12+H=C5H11-1+H2	12.7628	2.6900	6450.0000	22.9886	28.0989	31.5864	10.5649	2.3038	7061.7188	17.7751	22.9256	26.2993
NC5H12+H=C5H11-2+H2	14.7710	2.4000	4471.0000	25.1863	29.0997	31.8882	10.7349	2.0292	5189.4150	18.1228	22.1408	24.8531
NC5H12+HO2=C5H11-3+H2O2	4.1463	3.3700	13720.0000	11.2812	20.5213	26.3093	3.3094	3.3177	13763.5254	10.0754	19.3011	25.0638
NC5H12+CH3O2=C5H11-2+CH3O2H	4.8363	3.3700	15220.0000	10.4615	20.4564	26.6218	4.9017	3.5179	16391.1348	10.2674	20.9542	27.5168
