Validation results on test dataset:
R2 of lnk within 500-2000K is 0.9489
Average RMSE of lnk within 500-2000K is 2.7774
Average NRMSE of lnk within 500-2000K is 14.65%

	R2 score	RMSE	MPE	NRMSE
lnA:	0.7438	8.2059	89.84%	35.19%
n:	0.7106	1.0569	105.44%	61.43%
E:	0.9657	3868.3718	112.49%	20.37%
lnk(500K):	0.9621	3.4564	63.11%	20.71%
lnk(1000K):	0.9041	2.5063	17.77%	12.53%
lnk(2000K):	0.6287	2.5222	8.43%	10.07%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	2.5222	2.4761	2.4549	2.4545	2.4723	2.5063	2.5550	2.6170	2.6909	2.7757	2.8702	2.9735	3.0845	3.2025	3.3267	3.4564
NRMSE:	10.07%	10.35%	10.75%	11.28%	11.93%	12.53%	13.14%	13.85%	14.58%	15.35%	16.16%	17.04%	17.95%	18.87%	19.78%	20.71%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
C5H11-2=C3H6+C2H5	27.2857	0.6900	29636.7109	1.7462	17.1383	25.0734	23.3843	0.4724	25663.1230	0.4914	13.7330	20.5175
C5H11O2-2=C5H10OOH2-1	20.4072	1.1000	33500.0000	-6.4725	11.1479	20.3393	20.7644	0.7163	32147.0586	-7.1382	9.5353	18.1203
C5H11O2-2=C5H10OOH2-3	21.2633	0.9000	29500.0000	-2.8335	12.6353	20.6816	16.6534	0.9634	23216.9766	-0.7260	11.6250	18.1344
C5H10OOH1-3=OH+CH2O+C4H8-1	20.6290	1.4000	25500.0000	3.6652	17.4677	24.8542	22.0097	0.7553	24853.8984	1.6899	14.7204	21.4974
C5H10OOH3-1=OH+C2H5CHO+C2H4	42.5766	-1.7300	26820.0000	4.8327	17.1299	22.6789	20.8434	0.8232	23386.8926	2.4216	14.7610	21.2159
C5H10OOH1-3O2=NC5KET13+OH	9.3038	2.4000	19900.0000	4.1908	15.8684	22.5390	12.6962	1.7325	19272.1387	4.0667	14.9656	21.0155
CJOCOCO2H=C3H6O3_15+OH	46.8138	-2.4799	17501.3262	13.7884	20.8765	23.5611	34.3866	-0.5870	14526.1484	16.1187	23.0216	26.2696
CH3OCH2OCH3+H=CH3OCH2OCH2+H2	15.4329	2.3000	6453.1553	23.2318	28.0734	31.2913	19.0996	1.3815	3511.5850	24.1510	26.8757	28.7169
CH3OCH2OCH3+CH3=CH3OCH2OCH2+CH4	5.5413	3.1200	9345.1250	15.5255	22.3908	26.9048	7.7855	2.6924	8586.8867	15.8753	22.0626	26.0893
CH3OCH2OCH3+O=CH3OCH2OCH2+OH	15.5075	2.1480	3080.7803	25.7558	28.7950	31.0590	19.8255	1.4145	3964.4746	24.6260	27.6014	29.5794
COCO2JOCO2H=COCO2HOC*O+OH	18.3673	1.0850	18604.0000	6.3863	16.5003	21.9333	27.2981	0.3537	14672.3105	14.7291	22.3577	26.2945
